"nomen","nomjour","nomgr","qte_nette"
110007,"lundi","vin",150
110007,"dimanche","vin",75
110007,"samedi","vin",375
110007,"mardi","vin",100
110007,"mardi","spirit",40
110007,"jeudi","vin",100
110007,"samedi","cocktail",150
110007,"mercredi","vin",100
110020,"mardi","vin",50
110020,"dimanche","vin",200
110020,"jeudi","spirit",60
110020,"mercredi","spirit",120
110020,"mardi","spirit",100
110020,"lundi","vin",120
110020,"samedi","spirit",50
110034,"dimanche","cidre",200
110034,"vendredi","vin",200
110046,"lundi","vin",120
110046,"jeudi","vin",120
110046,"samedi","vin",120
110046,"mardi","vin",120
110046,"dimanche","vin",120
110046,"mercredi","vin",180
110046,"vendredi","vin",120
110057,"samedi","spirit",40
110057,"lundi","cocktail",100
110057,"vendredi","biere",250
110057,"lundi","vin",200
110057,"jeudi","spirit",80
110057,"dimanche","biere",250
110057,"samedi","biere",250
110057,"samedi","vin",600
110067,"jeudi","vin",400
110067,"dimanche","biere",660
110067,"vendredi","vin",700
110067,"mardi","vin",300
110067,"dimanche","vin",400
110067,"samedi","spirit",50
110067,"mercredi","vin",400
110067,"mercredi","cocktail",120
110067,"samedi","vin",800
110067,"mercredi","biere",750
110067,"dimanche","cocktail",120
110081,"jeudi","vin",340
110081,"samedi","vin",400
110110,"jeudi","biere",750
110110,"mercredi","vin",150
110110,"jeudi","cocktail",360
110110,"samedi","biere",1000
110110,"samedi","vin",270
110110,"samedi","cocktail",240
110113,"dimanche","vin",100
110113,"samedi","vin",350
110125,"samedi","vin",350
110125,"vendredi","biere",660
110125,"mercredi","cidre",350
110125,"samedi","cocktail",200
110125,"vendredi","vin",1000
110137,"mercredi","vin",300
110137,"mardi","vin",300
110137,"vendredi","vin",300
110137,"dimanche","vin",150
110137,"jeudi","vin",300
110137,"lundi","vin",300
110152,"dimanche","biere",1000
110152,"samedi","vin",300
110152,"mercredi","vin",600
110152,"samedi","spirit",40
110152,"jeudi","vin",300
110152,"vendredi","vin",300
110152,"vendredi","biere",250
110167,"lundi","vin",600
110167,"mardi","vin",150
110167,"mercredi","vin",700
110167,"jeudi","vin",500
110167,"vendredi","vin",1100
110167,"dimanche","vin",750
110167,"vendredi","spirit",120
110185,"jeudi","biere",250
110185,"dimanche","vin",250
110185,"samedi","vin",250
110185,"mardi","vin",150
110185,"vendredi","biere",250
110185,"jeudi","vin",150
110185,"lundi","vin",150
110185,"mercredi","vin",150
110185,"lundi","biere",250
110185,"vendredi","vin",350
110194,"dimanche","vin",250
110194,"jeudi","spirit",40
110194,"jeudi","vin",400
110194,"lundi","spirit",80
110194,"vendredi","vin",250
110194,"vendredi","cidre",330
110194,"samedi","vin",500
110194,"lundi","vin",200
110194,"jeudi","cidre",330
110207,"dimanche","spirit",40
110207,"samedi","biere",330
110207,"dimanche","biere",330
110208,"vendredi","vin",300
110208,"samedi","vin",300
110237,"vendredi","spirit",20
110237,"samedi","biere",660
110237,"samedi","vin",480
110237,"vendredi","vin",850
110243,"dimanche","vin",200
110243,"mercredi","vin",100
110243,"mercredi","spirit",40
110243,"vendredi","vin",250
110243,"samedi","vin",250
110243,"mardi","vin",50
110244,"samedi","vin",650
110244,"vendredi","vin",300
110244,"jeudi","vin",300
110244,"lundi","vin",150
110244,"dimanche","vin",450
110244,"mercredi","vin",300
110244,"mardi","vin",300
110298,"samedi","spirit",50
110330,"dimanche","spirit",50
110330,"samedi","vin",300
110330,"vendredi","spirit",50
110330,"samedi","spirit",50
110341,"samedi","vin",200
110362,"vendredi","vin",360
110362,"vendredi","biere",500
110362,"lundi","biere",250
110362,"samedi","spirit",300
110362,"dimanche","vin",600
110362,"mardi","vin",500
110362,"mardi","biere",250
110362,"lundi","vin",360
110362,"jeudi","vin",480
110362,"vendredi","spirit",100
110362,"jeudi","biere",250
110362,"mercredi","vin",480
110362,"samedi","biere",250
110362,"dimanche","cocktail",240
110362,"samedi","vin",240
110371,"mardi","spirit",280
110372,"samedi","spirit",50
110373,"dimanche","vin",200
110373,"vendredi","biere",330
110373,"lundi","vin",200
110373,"mardi","vin",100
110373,"samedi","vin",200
110385,"dimanche","cocktail",100
110385,"jeudi","vin",200
110385,"samedi","spirit",50
110385,"mardi","vin",200
110385,"lundi","vin",300
110385,"vendredi","vin",200
110385,"mercredi","vin",200
110385,"dimanche","vin",200
110385,"samedi","vin",200
110390,"samedi","vin",1600
110390,"dimanche","spirit",80
110390,"dimanche","vin",200
110390,"mardi","spirit",40
110390,"lundi","vin",200
110390,"dimanche","biere",250
110390,"lundi","spirit",80
110391,"samedi","vin",200
110391,"mardi","vin",200
110391,"samedi","spirit",8
110391,"mardi","cidre",240
110392,"samedi","vin",150
110392,"mercredi","vin",100
110409,"mercredi","spirit",400
110409,"lundi","spirit",80
110409,"mardi","spirit",160
110409,"vendredi","spirit",40
110432,"vendredi","vin",120
110432,"mercredi","vin",180
110432,"samedi","vin",120
110432,"mardi","vin",120
110432,"jeudi","vin",180
110432,"dimanche","vin",340
110432,"lundi","vin",120
110455,"lundi","vin",220
110455,"jeudi","vin",240
110455,"mardi","vin",240
110455,"samedi","vin",250
110455,"dimanche","cocktail",120
110455,"dimanche","vin",570
110455,"mardi","spirit",80
110455,"mercredi","vin",360
110455,"vendredi","vin",400
110469,"mercredi","vin",200
110469,"jeudi","vin",500
110469,"lundi","vin",150
110469,"mardi","spirit",50
110469,"lundi","biere",250
110469,"dimanche","vin",150
110469,"samedi","vin",100
110469,"vendredi","spirit",50
110469,"mardi","vin",100
110469,"vendredi","vin",200
110469,"dimanche","spirit",100
110469,"jeudi","biere",250
110472,"samedi","spirit",50
110483,"vendredi","vin",50
110483,"jeudi","spirit",36
110483,"samedi","vin",150
110483,"dimanche","vin",100
110483,"mercredi","vin",100
110486,"vendredi","vin",48
110486,"mercredi","vin",250
110486,"mercredi","cocktail",120
110486,"dimanche","spirit",40
110486,"vendredi","biere",330
110486,"dimanche","vin",450
110486,"samedi","cocktail",120
110486,"lundi","vin",36
110486,"samedi","vin",100
110486,"mardi","vin",286
110493,"lundi","biere",120
110493,"samedi","vin",450
110493,"mardi","biere",120
110493,"dimanche","biere",120
110498,"jeudi","vin",150
110500,"samedi","vin",100
110512,"mercredi","vin",400
110512,"mardi","cocktail",200
110512,"lundi","vin",300
110512,"mardi","vin",150
110512,"samedi","vin",1260
110512,"vendredi","vin",150
110512,"jeudi","vin",600
110512,"dimanche","spirit",50
110512,"dimanche","vin",750
110518,"dimanche","vin",100
110518,"mercredi","vin",100
110518,"mardi","vin",200
110519,"lundi","vin",120
110519,"jeudi","spirit",40
110519,"mardi","vin",480
110519,"vendredi","spirit",40
110519,"lundi","spirit",40
110519,"mercredi","spirit",90
110519,"mercredi","biere",500
110531,"mardi","spirit",120
110531,"mercredi","spirit",200
110531,"dimanche","biere",2500
110531,"mardi","biere",2000
110531,"vendredi","biere",1250
110531,"mardi","cocktail",600
110539,"jeudi","vin",150
110539,"mardi","cocktail",100
110539,"vendredi","biere",250
110539,"samedi","spirit",50
110548,"mercredi","vin",300
110548,"vendredi","vin",650
110554,"vendredi","cidre",150
110558,"dimanche","vin",120
110558,"samedi","vin",240
110559,"samedi","spirit",50
110559,"lundi","cidre",150
110559,"jeudi","vin",200
110559,"vendredi","vin",100
110559,"samedi","vin",350
110559,"dimanche","vin",300
110559,"mardi","cidre",240
110559,"lundi","vin",200
110564,"jeudi","vin",240
110564,"vendredi","cocktail",200
110564,"vendredi","vin",510
110569,"mercredi","vin",200
110571,"jeudi","vin",150
110571,"dimanche","vin",300
110580,"dimanche","vin",700
110580,"vendredi","vin",300
110580,"samedi","vin",300
110580,"samedi","spirit",50
110580,"mercredi","cocktail",100
110580,"mercredi","vin",600
110582,"samedi","vin",480
110595,"samedi","biere",160
110595,"jeudi","spirit",60
110595,"mardi","spirit",150
110598,"samedi","cocktail",100
110598,"dimanche","vin",300
110598,"samedi","vin",200
110605,"vendredi","spirit",40
110618,"vendredi","vin",150
110618,"samedi","vin",150
110618,"lundi","vin",300
110618,"dimanche","vin",150
110618,"mercredi","vin",150
110642,"mercredi","vin",100
110644,"jeudi","vin",150
